"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\Barracks.ts", "TypeScript", 169, 7, 26, 202
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\Building.ts", "TypeScript", 21, 1, 6, 28
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\LorryHQ.ts", "TypeScript", 18, 0, 7, 25
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\MiningSite.ts", "TypeScript", 23, 0, 9, 32
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\UpgradeSite.ts", "TypeScript", 42, 0, 6, 48
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\BunkerLayout.ts", "TypeScript", 10, 1, 2, 13
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Creep\Creep_Actions.ts", "TypeScript", 91, 0, 14, 105
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Creep\Creep_Main.ts", "TypeScript", 5, 39, 4, 48
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Creep_Setups\CreepSetup.ts", "TypeScript", 50, 3, 18, 71
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Creep_Setups\Setups.ts", "TypeScript", 128, 2, 40, 170
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Empire.ts", "TypeScript", 75, 1, 16, 92
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Empire_Memory.ts", "TypeScript", 2, 42, 2, 46
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Manager.ts", "TypeScript", 54, 15, 14, 83
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Managers\CrisisManager.ts", "TypeScript", 59, 6, 12, 77
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Managers\LorryManager.ts", "TypeScript", 126, 6, 16, 148
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Managers\ManagerPriority.ts", "TypeScript", 51, 3, 16, 70
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Managers\MiningManager.ts", "TypeScript", 174, 1, 31, 206
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Managers\QueenManager.ts", "TypeScript", 46, 1, 11, 58
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Managers\UpgradeManager.ts", "TypeScript", 82, 1, 10, 93
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Managers\WorkManager.ts", "TypeScript", 151, 4, 17, 172
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Missions\Mission.ts", "TypeScript", 29, 0, 6, 35
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Missions\MissionSwitch.ts", "TypeScript", 13, 3, 4, 20
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Rando_Functions.ts", "TypeScript", 90, 0, 20, 110
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\RoomPosition.ts", "TypeScript", 59, 2, 8, 69
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Room\Capital.ts", "TypeScript", 153, 11, 35, 199
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Room\Room_Find.ts", "TypeScript", 193, 15, 30, 238
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Traveler.ts", "TypeScript", 407, 139, 105, 651
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\config.ts", "TypeScript", 44, 2, 4, 50
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\index.d.ts", "TypeScript", 72, 2, 18, 92
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\main.ts", "TypeScript", 35, 19, 12, 66
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\utils\ErrorMapper.ts", "TypeScript", 63, 17, 11, 91
"Total", "-", 2535, 343, 530, 3408
